name,city,region,country,category_list,category_groups_list,cb_url,rank,domain
Eventige,New York,New York,US,"Advertising,Brand Marketing,Digital Marketing,E-Commerce,Identity Management,Marketing,Semantic Search,SEO","Advertising,Commerce and Shopping,Information Technology,Internet Services,Privacy and Security,Sales and Marketing",https://www.crunchbase.com/organization/eventige,225832,eventige.com
Eventik,Mexico City,Distrito Federal,MX,"Mobile,Music,Ticketing","Events,Media and Entertainment,Mobile,Music and Audio",https://www.crunchbase.com/organization/eventik,463231,eventikapp.com
Eventil,,,,"Events,Information Services,Information Technology","Events,Information Technology,Media and Entertainment",https://www.crunchbase.com/organization/eventil,333763,eventil.com
"Eventiles, Inc.",Seattle,Washington,US,Software,Software,https://www.crunchbase.com/organization/eventiles-inc,371260,eventiles.com
Eventilio,Delhi,Delhi,IN,iOS,"Mobile,Platforms,Software",https://www.crunchbase.com/organization/eventilio,644884,eventilio.com
Eventility,,,,"Email,Events,Nightclubs,Software","Events,Information Technology,Internet Services,Media and Entertainment,Messaging and Telecommunications,Software",https://www.crunchbase.com/organization/eventility,270487,eventility.com
Eventilla,Oulu,Oulu,FI,"Email Marketing,Event Management","Events,Media and Entertainment,Sales and Marketing",https://www.crunchbase.com/organization/eventilla,177482,eventilla.com
Eventim UK Ltd,London,England,GB,"E-Commerce,Logistics,Ticketing","Commerce and Shopping,Events,Media and Entertainment,Transportation",https://www.crunchbase.com/organization/eventim-uk-ltd,150353,eventim.co.uk
EventInArea,Amsterdam,Noord-Holland,NL,"Concerts,Events,Location Based Services,Search Engine","Data and Analytics,Events,Internet Services,Media and Entertainment,Navigation and Mapping",https://www.crunchbase.com/organization/eventinarea,505400,eventinarea.com
eventinformation.dk,,,DK,Public Relations,Sales and Marketing,https://www.crunchbase.com/organization/eventinformation-dk,767439,eventinformation.dk
Eventinterface,Scottsdale,Arizona,US,"Event Management,Events,Mobile Apps,SaaS,Software","Apps,Events,Media and Entertainment,Mobile,Software",https://www.crunchbase.com/organization/eventinterface,194383,eventinterface.com
EVENTION,Hong Kong,Hong Kong Island,HK,"Event Management,Information Technology,Mobile","Events,Information Technology,Media and Entertainment,Mobile",https://www.crunchbase.com/organization/evention,179522,eventionapp.com
Eventions,,,,E-Commerce,Commerce and Shopping,https://www.crunchbase.com/organization/eventions,709875,eventions.ng
Eventioz,Mendoza,Mendoza,AR,"Events,Software,Ticketing","Events,Media and Entertainment,Software",https://www.crunchbase.com/organization/eventioz,52442,eventioz.com
Eventis,,,,"iOS,Software","Mobile,Platforms,Software",https://www.crunchbase.com/organization/eventis,561068,eventis.io
eventIS Group,Eindhoven,Noord-Brabant,NL,Software,Software,https://www.crunchbase.com/organization/eventis-group,394940,eventis.nl
Eventish.com,Sherman Oaks,California,US,"Cloud Computing,Software,Web Hosting","Internet Services,Software",https://www.crunchbase.com/organization/eventish-com,313081,eventish.com
Eventive Marketing,New York,New York,US,"Advertising,Marketing","Advertising,Sales and Marketing",https://www.crunchbase.com/organization/eventive-marketing,195462,eventivemarketing.com
Eventix,Amsterdam,Noord-Holland,NL,Ticketing,"Events,Media and Entertainment",https://www.crunchbase.com/organization/eventix,167778,eventix.io
Eventiz Media Group,Paris,Île-de-France,FR,Travel,Travel and Tourism,https://www.crunchbase.com/organization/eventiz-media-group,370094,eventiz.biz
Eventizy,,,IN,"Apps,Event Management","Apps,Events,Media and Entertainment,Software",https://www.crunchbase.com/organization/eventizy,239979,eventizy.in
Eventjams,,,,None,None,https://www.crunchbase.com/organization/eventjams,637555,eventjams.com
Eventjini,Chennai,Tamil Nadu,IN,"Event Management,Events,Software","Events,Media and Entertainment,Software",https://www.crunchbase.com/organization/eventjini,61885,eventjini.com
EventJoin,Santa Clara,California,US,"Career Planning,Enterprise Software,Human Resources,Internet,SaaS,Social Media,Software","Internet Services,Media and Entertainment,Professional Services,Software",https://www.crunchbase.com/organization/eventjoin-2,55722,joineight.com
Eventjoy,San Francisco,California,US,"Event Management,Events","Events,Media and Entertainment",https://www.crunchbase.com/organization/eventjoy,48086,eventjoy.com
EventKaddy,San Francisco,California,US,"Apps,Events,iOS,Mobile","Apps,Events,Media and Entertainment,Mobile,Platforms,Software",https://www.crunchbase.com/organization/eventkaddy,467563,eventkaddy.com
EventKey,Tempe,Arizona,US,"Events,Mobile Apps,Professional Networking","Apps,Community and Lifestyle,Events,Media and Entertainment,Mobile,Professional Services,Software",https://www.crunchbase.com/organization/eventkey,235902,geteventkey.com
EventKickstart,Washington,District of Columbia,US,Events,"Events,Media and Entertainment",https://www.crunchbase.com/organization/eventkickstart,291139,eventkickstart.com
EVENTKINGDOM,Berlin,Berlin,DE,"Event Management,Events,Public Relations","Events,Media and Entertainment,Sales and Marketing",https://www.crunchbase.com/organization/logandgo,258492,eventkingdom.com
EventKlang Entertainment,,,DE,"Digital Entertainment,Music,Social Media","Internet Services,Media and Entertainment,Music and Audio",https://www.crunchbase.com/organization/eventklang-entertainment,747627,eventklang-entertainment.de
EventKloud,Washington,District of Columbia,US,"Ad Targeting,Advertising Platforms,Analytics,Events,Marketing Automation,Sales Automation","Advertising,Data and Analytics,Events,Information Technology,Media and Entertainment,Sales and Marketing,Software",https://www.crunchbase.com/organization/event-kloud,79075,eventkloud.com
EVENTKUTTA,,,,"Hospitality,Leisure,Lifestyle","Community and Lifestyle,Travel and Tourism",https://www.crunchbase.com/organization/eventkutta,572291,eventkutta.com
Eventleo,,,,"Charity,Events,Non Profit,Social Media","Events,Internet Services,Media and Entertainment",https://www.crunchbase.com/organization/eventleo,527471,eventleo.com
Eventlink,Lafayette,Indiana,US,Software,Software,https://www.crunchbase.com/organization/eventlink,399743,eventlink.com
EventLinq,Lagos,Lagos,NG,"Apps,Events,Mobile","Apps,Events,Media and Entertainment,Mobile,Software",https://www.crunchbase.com/organization/eventlinq,665214,myeventlinq.com
Eventlocus,,,,"Event Management,Internet,Social Media","Events,Internet Services,Media and Entertainment",https://www.crunchbase.com/organization/eventlocus,729235,eventlocus.com
EventLolli,,,,Software,Software,https://www.crunchbase.com/organization/eventlolli,439232,eventlolli.com
EventLoud,,,,Software,Software,https://www.crunchbase.com/organization/eventloud,765728,eventloud.com
Evently,San Francisco,California,US,"Events,Internet,SaaS,Software","Events,Internet Services,Media and Entertainment,Software",https://www.crunchbase.com/organization/evently,180464,evently.com
Eventmag.ru,Moscow,Moscow City,RU,"E-Commerce,Marketplace,Ticketing","Commerce and Shopping,Events,Media and Entertainment",https://www.crunchbase.com/organization/eventmag-ru,115506,eventmag.ru
EventMagic,Oakland,California,US,Event Management,"Events,Media and Entertainment",https://www.crunchbase.com/organization/eventmagic,567838,eventmagic.com
Eventmaker.io,Paris,Île-de-France,FR,Internet,Internet Services,https://www.crunchbase.com/organization/eventmaker-io,216928,eventmaker.io
EventMama,Dublin,Dublin,IE,"Event Management,Events,Marketplace","Commerce and Shopping,Events,Media and Entertainment",https://www.crunchbase.com/organization/eventmama,422218,eventmama.com
EventMania,Palmas,Tocantins,BR,"Events,Internet,Printing","Content and Publishing,Events,Internet Services,Media and Entertainment",https://www.crunchbase.com/organization/eventmania,602288,eventmania.co
EventMap Solutions,Belfast,Belfast,GB,"Digital Media,Software","Media and Entertainment,Software",https://www.crunchbase.com/organization/eventmap-solutions,252116,eventmapsolutions.com
Eventmate,New York,New York,US,"Apps,Events","Apps,Events,Media and Entertainment,Software",https://www.crunchbase.com/organization/eventmate,254003,myeventmate.com
EventMates,New York,New York,US,"Consulting,Events,Marketplace","Commerce and Shopping,Events,Media and Entertainment",https://www.crunchbase.com/organization/eventmates,597092,eventmates.co
EventMethod,Austin,Texas,US,"Enterprise Software,Events","Events,Media and Entertainment,Software",https://www.crunchbase.com/organization/eventmethod,485761,eventmethod.com
Eventmetrics,,,,"Events,Music,Nightlife","Events,Media and Entertainment,Music and Audio",https://www.crunchbase.com/organization/eventmetrics,413764,eventmetrics.co
EventMobi,Toronto,Ontario,CA,Mobile,Mobile,https://www.crunchbase.com/organization/eventmobi-com,64014,eventmobi.com
Eventninja,,,,Software,Software,https://www.crunchbase.com/organization/eventninja,257419,eventninja.io
Eventnode,Irvine,California,US,"Event Management,Mobile,Social Media Management","Events,Internet Services,Media and Entertainment,Mobile,Sales and Marketing",https://www.crunchbase.com/organization/eventnode,474163,eventnode.co
Eventnoire,Chicago,Illinois,US,"Mobile Apps,Software","Apps,Mobile,Software",https://www.crunchbase.com/organization/eventnoire,222521,eventnoire.com
EventNook,Singapore,Central Region,SG,Ticketing,"Events,Media and Entertainment",https://www.crunchbase.com/organization/eventnook,165226,eventnook.com
EventNow,New York,New York,US,"E-Commerce,Events,Marketplace","Commerce and Shopping,Events,Media and Entertainment",https://www.crunchbase.com/organization/eventnow,217442,eventnow.com
eventNu,Redmond,Washington,US,"E-Commerce,Events,Internet,Ticketing","Commerce and Shopping,Events,Internet Services,Media and Entertainment",https://www.crunchbase.com/organization/eventnu,716905,eventnu.com
Evento,Ramat Yishai,HaZafon,IL,"Apps,E-Commerce,Enterprise Software,Mobile,Sports,Ticketing","Apps,Commerce and Shopping,Events,Media and Entertainment,Mobile,Software,Sports",https://www.crunchbase.com/organization/evento-social-promotion,64978,evento.com
Evento Al Mundo,Mexico City,Distrito Federal,MX,Media and Entertainment,Media and Entertainment,https://www.crunchbase.com/organization/getviews-media,370434,eventoalmundo.com
Evento Solutions,,,AE,"Education,Information Technology","Education,Information Technology",https://www.crunchbase.com/organization/evento-solutions,366146,evento.ae
Eventob Inc.,Dover,Delaware,US,"Communities,Location Based Services","Community and Lifestyle,Data and Analytics,Internet Services,Navigation and Mapping",https://www.crunchbase.com/organization/eventob-inc,651645,eventob.com
Eventogy,London,England,GB,"Event Management,Events,Mobile Apps","Apps,Events,Media and Entertainment,Mobile,Software",https://www.crunchbase.com/organization/eventogy,161026,eventogy.com
Eventomize,New York,New York,US,"Event Management,Events,Hospitality","Events,Media and Entertainment,Travel and Tourism",https://www.crunchbase.com/organization/eventomize,493991,eventomize.com
eventOne,Greenfield,Indiana,US,"Event Management,Events,Mobile,SaaS","Events,Media and Entertainment,Mobile,Software",https://www.crunchbase.com/organization/filiosoft,204455,event1.io
Eventopedia,London,England,GB,"Brand Marketing,Digital Marketing,Enterprise Software,Event Management,Hospitality,Meeting Software,SaaS,Software,Video,Video Advertising","Advertising,Events,Media and Entertainment,Messaging and Telecommunications,Sales and Marketing,Software,Travel and Tourism,Video",https://www.crunchbase.com/organization/eventopedia,50296,eventopedia.com
Eventoplus,Barcelona,Catalonia,ES,"Internet,Publishing","Content and Publishing,Internet Services,Media and Entertainment",https://www.crunchbase.com/organization/eventoplus,500357,eventoplus.com
Eventoprix,Barcelona,Catalonia,ES,"Event Management,Events,Online Portals","Events,Internet Services,Media and Entertainment",https://www.crunchbase.com/organization/eventoprix,594151,eventoprix.es
EventOPS,Raleigh,North Carolina,US,"Event Management,Events,Project Management","Events,Media and Entertainment",https://www.crunchbase.com/organization/eventops,233708,eventopssoftware.com
Eventora,Paraskeví,Trikala,GR,Event Management,"Events,Media and Entertainment",https://www.crunchbase.com/organization/eventora,200419,eventora.com
EventOrb,New York,New York,US,"Event Management,Public Relations","Events,Media and Entertainment,Sales and Marketing",https://www.crunchbase.com/organization/eventorb,447244,eventorb.com
Eventorium,,,,"Events,Search Engine","Events,Internet Services,Media and Entertainment",https://www.crunchbase.com/organization/eventorium,740365,eventorium.com
Eventoriy,,,UA,Information Technology,Information Technology,https://www.crunchbase.com/organization/eventoriy,744859,eventoriy.com.ua
Eventory,San Francisco,California,US,"Event Management,Event Promotion,Events,Mobile","Events,Media and Entertainment,Mobile",https://www.crunchbase.com/organization/eventory,42409,eventory.cc
Eventos Airsoft Brasil,São José Dos Campos,Sao Paulo,BR,"Communities,Private Social Networking,Social Network,Sports","Community and Lifestyle,Internet Services,Sports",https://www.crunchbase.com/organization/eventos-airsoft-brasil,354396,eventosairsoftbrasil.com.br
Eventos do Bem,,,BR,E-Commerce,Commerce and Shopping,https://www.crunchbase.com/organization/eventos-do-bem,516728,eventosdobem.com.br
Eventosaur,Bangalore,Karnataka,IN,"Events,Internet,Internet of Things,Robotics","Events,Hardware,Internet Services,Media and Entertainment,Science and Engineering,Software",https://www.crunchbase.com/organization/eventosaur,253738,eventosaur.com
EVENTOSFERA,,,,"Internet,Real Estate","Internet Services,Real Estate",https://www.crunchbase.com/organization/eventosfera,578075,eventosfera.com
Eventovate,Dublin,Dublin,IE,"Cloud Data Services,Customer Service,Software","Information Technology,Internet Services,Software",https://www.crunchbase.com/organization/eventovate,234905,eventovate.com
Eventovenues,,,,Event Management,"Events,Media and Entertainment",https://www.crunchbase.com/organization/eventovenues,762341,eventovenues.com
Eventown Group,Beijing,Beijing,CN,"E-Commerce,Marketing,Online Portals","Commerce and Shopping,Internet Services,Sales and Marketing",https://www.crunchbase.com/organization/eventown-group,431933,eventown.com
Eventozera,Rio De Janeiro,Rio de Janeiro,BR,"Events,Internet,Payments","Events,Financial Services,Internet Services,Media and Entertainment,Payments",https://www.crunchbase.com/organization/eventozera,743045,eventozera.com.br
EventPatrol ltd,London,England,GB,"Advertising,Events,Marketing","Advertising,Events,Media and Entertainment,Sales and Marketing",https://www.crunchbase.com/organization/event-patrol-llc,617344,eventpatrol.com
EventPays LLC,,,,"Events,Food and Beverage,Wine And Spirits","Events,Food and Beverage,Media and Entertainment",https://www.crunchbase.com/organization/eventpays-llc,698426,eventpays.com
Eventpedia,Mclean,Virginia,US,"Events,Mobile Apps,Non Profit","Apps,Events,Media and Entertainment,Mobile,Software",https://www.crunchbase.com/organization/eventpedia,203499,eventpedia.com
Eventphant,,,,"Apps,iOS,Mobile Apps","Apps,Mobile,Platforms,Software",https://www.crunchbase.com/organization/eventphant,738826,eventphant.com
Eventpick,Toronto,Ontario,CA,"Advertising,Marketing","Advertising,Sales and Marketing",https://www.crunchbase.com/organization/eventpick,279751,eventpick.com
Eventpig,London,England,GB,"Event Management,Events,Social Media,Ticketing","Events,Internet Services,Media and Entertainment",https://www.crunchbase.com/organization/eventpig,146909,eventpig.com
Eventmag.ru,Moscow,Moscow City,RU,"E-Commerce,Marketplace,Ticketing","Commerce and Shopping,Events,Media and Entertainment",https://www.crunchbase.com/organization/eventmag-ru,115506,eventmag.ru
EventMagic,Oakland,California,US,Event Management,"Events,Media and Entertainment",https://www.crunchbase.com/organization/eventmagic,567838,eventmagic.com
Eventmaker.io,Paris,Île-de-France,FR,Internet,Internet Services,https://www.crunchbase.com/organization/eventmaker-io,216928,eventmaker.io
EventMama,Dublin,Dublin,IE,"Event Management,Events,Marketplace","Commerce and Shopping,Events,Media and Entertainment",https://www.crunchbase.com/organization/eventmama,422218,eventmama.com
EventMania,Palmas,Tocantins,BR,"Events,Internet,Printing","Content and Publishing,Events,Internet Services,Media and Entertainment",https://www.crunchbase.com/organization/eventmania,602288,eventmania.co
EventMap Solutions,Belfast,Belfast,GB,"Digital Media,Software","Media and Entertainment,Software",https://www.crunchbase.com/organization/eventmap-solutions,252116,eventmapsolutions.com
Eventmate,New York,New York,US,"Apps,Events","Apps,Events,Media and Entertainment,Software",https://www.crunchbase.com/organization/eventmate,254003,myeventmate.com
EventMates,New York,New York,US,"Consulting,Events,Marketplace","Commerce and Shopping,Events,Media and Entertainment",https://www.crunchbase.com/organization/eventmates,597092,eventmates.co
EventMethod,Austin,Texas,US,"Enterprise Software,Events","Events,Media and Entertainment,Software",https://www.crunchbase.com/organization/eventmethod,485761,eventmethod.com
Eventmetrics,,,,"Events,Music,Nightlife","Events,Media and Entertainment,Music and Audio",https://www.crunchbase.com/organization/eventmetrics,413764,eventmetrics.co
Eventphant,,,,"Apps,iOS,Mobile Apps","Apps,Mobile,Platforms,Software",https://www.crunchbase.com/organization/eventphant,738826,eventphant.com
Eventpick,Toronto,Ontario,CA,"Advertising,Marketing","Advertising,Sales and Marketing",https://www.crunchbase.com/organization/eventpick,279751,eventpick.com
Eventpig,London,England,GB,"Event Management,Events,Social Media,Ticketing","Events,Internet Services,Media and Entertainment",https://www.crunchbase.com/organization/eventpig,146909,eventpig.com